n,k,risk,CG23,U
9.300000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,9.135441093714095906e-02,1.749826760924720059e-01
9.400000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,9.042170398973393974e-02,1.749826760924720059e-01
9.500000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,8.950783903064779556e-02,1.749826760924720059e-01
9.600000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,8.861225115553990339e-02,1.538229695287303411e-01
9.700000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,8.773439780481583072e-02,1.538229695287303411e-01
9.800000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,8.687375767033646279e-02,1.538229695287303411e-01
9.900000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,8.602982966565270173e-02,1.538229695287303411e-01
1.000000000000000000e+02,2.000000000000000000e+00,1.146025790318690001e-02,8.520213195550653540e-02,1.538229695287303411e-01
1.010000000000000000e+02,2.000000000000000000e+00,1.146025790318690001e-02,8.439020104065762806e-02,1.538229695287303411e-01
1.020000000000000000e+02,2.000000000000000000e+00,1.146025790318690001e-02,8.359359089439451218e-02,1.538229695287303411e-01
1.030000000000000000e+02,2.000000000000000000e+00,1.146025790318690001e-02,8.281187214735780122e-02,1.538229695287303411e-01
1.040000000000000000e+02,2.000000000000000000e+00,1.146025790318690001e-02,8.204463131755333760e-02,1.538229695287303411e-01
1.050000000000000000e+02,2.000000000000000000e+00,1.146025790318690001e-02,8.129147008266107699e-02,1.538229695287303411e-01
1.060000000000000000e+02,2.000000000000000000e+00,1.146025790318690001e-02,8.055200459195506479e-02,1.538229695287303411e-01
1.070000000000000000e+02,2.000000000000000000e+00,1.146025790318690001e-02,7.982586481534387213e-02,1.538229695287303411e-01
1.080000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,7.911269392721601013e-02,1.538229695287303411e-01
1.090000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,7.841214772294059776e-02,1.538229695287303411e-01
1.100000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,7.772389406602261963e-02,1.538229695287303411e-01
1.110000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,7.704761236405113789e-02,1.538229695287303411e-01
1.120000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,7.638299307170678953e-02,1.338842421991309484e-01
1.130000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,7.572973721921370804e-02,1.338842421991309484e-01
1.140000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,7.508755596472911631e-02,1.338842421991309484e-01
1.150000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,7.445617016926572851e-02,1.338842421991309484e-01
1.160000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,7.383530999283559326e-02,1.338842421991309484e-01
1.170000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,7.322471451058917835e-02,1.338842421991309484e-01
1.180000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,7.262413134780601465e-02,1.338842421991309484e-01
1.190000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,7.203331633266467360e-02,1.338842421991309484e-01
1.200000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,7.145203316579142039e-02,1.338842421991309484e-01
1.210000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,7.088005310564884920e-02,1.338842421991309484e-01
1.220000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,7.031715466888671662e-02,1.338842421991309484e-01
1.230000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,6.976312334483086852e-02,1.338842421991309484e-01
1.240000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,6.921775132333936320e-02,1.338842421991309484e-01
1.250000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,6.868083723530075957e-02,1.338842421991309484e-01
1.260000000000000000e+02,2.000000000000000000e+00,9.715331617875719999e-03,6.815218590509539154e-02,1.338842421991309484e-01
