replicate,method,n,k,risk,nominal_cost,anytime_U
25,Per_time,466,2,0.0024762189719284024,1.5812309242053342,0.03895234603569855
25,GCC_T1,190,2,0.0024762189719284024,1.5812309242053342,0.08884340963149352
25,GCC_T4,162,2,0.0024762189719284024,1.5812309242053342,0.10186276543651669
25,Fixed_N,93,2,0.0024762189719284024,1.5812309242053342,0.174982676092472
25,Posthoc,543,2,0.000859539702490789,1.4958098464285403,0.033967598945458415
26,Anytime,362,2,0.009859554395186649,1.4486144542723278,0.04470779190771206
26,Per_time,466,2,0.009859554395186649,1.4486144542723278,0.03895234603569855
26,GCC_T1,190,2,0.009974001229444742,1.5828175747115658,0.08884340963149352
26,GCC_T4,162,2,0.009974001229444742,1.5828175747115658,0.10186276543651669
26,Fixed_N,93,2,0.013234270835156282,1.7720545925302948,0.174982676092472
26,Posthoc,589,2,0.008703210733455598,1.3726676222364873,0.02959763815910193
27,Anytime,275,1,0.0010554805316306747,1.6522581951643487,0.04878717610342121
27,Per_time,402,1,0.0010554805316306747,1.6522581951643487,0.035075444436606075
27,GCC_T1,190,2,0.015829858031480102,1.7911410616823513,0.08884340963149352
27,GCC_T4,162,2,0.024971363613950383,2.012972868079714,0.10186276543651669
27,Fixed_N,93,2,0.04252326466822692,2.505155903688861,0.174982676092472
27,Posthoc,602,2,0.0002350686443101406,1.5591971527853943,0.02959763815910193
28,Anytime,362,2,0.002920118036769999,1.4761639834576423,0.04470779190771206
28,Per_time,466,2,0.002920118036769999,1.4761639834576423,0.03895234603569855
28,GCC_T1,190,2,0.002920118036769999,1.4761639834576423,0.08884340963149352
28,GCC_T4,162,2,0.002920118036769999,1.4761639834576423,0.10186276543651669
28,Fixed_N,93,2,0.009017251746762048,1.3646058224110682,0.174982676092472
28,Posthoc,362,2,0.002920118036769999,1.4761639834576423,0.04470779190771206
29,Anytime,362,2,0.0020509305812772068,1.4373189439992449,0.04470779190771206
29,Per_time,466,2,0.0020509305812772068,1.4373189439992449,0.03895234603569855
29,GCC_T1,190,2,0.0020509305812772068,1.4373189439992449,0.08884340963149352
29,GCC_T4,162,2,0.0020509305812772068,1.4373189439992449,0.10186276543651669
29,Fixed_N,93,2,0.004795635333414439,1.3675398561106635,0.174982676092472
29,Posthoc,362,2,0.0020509305812772068,1.4373189439992449,0.04470779190771206
30,Anytime,271,1,0.006748945537862118,1.3406561419763254,0.04878717610342121
30,Per_time,466,2,0.0005908935629229575,1.5158096114503172,0.03895234603569855
30,GCC_T1,146,1,0.006748945537862118,1.3406561419763254,0.09435851123028417
30,GCC_T4,132,1,0.006748945537862118,1.3406561419763254,0.11122389675566964
30,Fixed_N,93,2,0.02183748998426594,1.7763610887535006,0.174982676092472
30,Posthoc,271,1,0.006748945537862118,1.3406561419763254,0.04878717610342121
31,Anytime,362,2,0.006722349990846289,1.5483674458608343,0.04470779190771206
