n,k_hull,risk_hull,U_hull,U_per_time,k_box,risk_box,U_box,finite_hull,finite_box
4567.0,24.0,0.005722602821582878,0.014783254532328547,0.017462619085329745,4.0,0.00041583969524316977,0.005012056226844762,0.012920171312523442,0.0054335271444211075
4568.0,24.0,0.005722602821582878,0.014783254532328547,0.017458954951740723,4.0,0.00041583969524316977,0.005012056226844762,0.012917353926930433,0.005432340494953053
4569.0,24.0,0.005722602821582878,0.014783254532328547,0.017455292713197568,4.0,0.00041583969524316977,0.005012056226844762,0.012914537769781274,0.0054311543636848345
4570.0,24.0,0.005722602821582878,0.014783254532328547,0.017451631456333074,4.0,0.00041583969524316977,0.005012056226844762,0.012911722840272682,0.0054299687502770855
4571.0,24.0,0.005722602821582878,0.014783254532328547,0.017447971858660902,4.0,0.00041583969524316977,0.005012056226844762,0.012908909137602098,0.005428783654390737
4572.0,24.0,0.005722602821582878,0.014783254532328547,0.017444314152538404,4.0,0.00041583969524316977,0.005012056226844762,0.012906096660967665,0.005427599075687017
4573.0,24.0,0.005722602821582878,0.014783254532328547,0.01744065796035017,4.0,0.00041583969524316977,0.005012056226844762,0.012903285409568222,0.005426415013827448
4574.0,24.0,0.005722602821582878,0.014783254532328547,0.017437002890083767,4.0,0.00041583969524316977,0.005012056226844762,0.012900475382603305,0.005425231468473843
4575.0,24.0,0.005722602821582878,0.014783254532328547,0.017433349707879693,4.0,0.00041583969524316977,0.005012056226844762,0.012897666579273145,0.005424048439288321
4576.0,24.0,0.005722602821582878,0.014783254532328547,0.017429698412144288,4.0,0.00041583969524316977,0.005012056226844762,0.012894858998778668,0.005422865925933286
4577.0,24.0,0.005722602821582878,0.014783254532328547,0.017426048018503396,4.0,0.00041583969524316977,0.005012056226844762,0.012892052640321497,0.005421683928071439
4578.0,24.0,0.005722602821582878,0.014783254532328547,0.01742239935173694,4.0,0.00041583969524316977,0.005012056226844762,0.01288924750310395,0.005420502445365779
4579.0,24.0,0.005722602821582878,0.014783254532328547,0.017418752567964175,4.0,0.00041583969524316977,0.005012056226844762,0.012886443586329057,0.005419321477479593
4580.0,24.0,0.005722602821582878,0.014783254532328547,0.017415107216486096,4.0,0.00041583969524316977,0.005012056226844762,0.012883640889200503,0.0054181410240764635
4581.0,24.0,0.005722602821582878,0.014783254532328547,0.017411463056697385,4.0,0.00041583969524316977,0.005012056226844762,0.0128808394109227,0.005416961084820267
4582.0,24.0,0.005722602821582878,0.014783254532328547,0.017407820776436166,4.0,0.00041583969524316977,0.005012056226844762,0.012878039150700729,0.0054157816593751705
4583.0,24.0,0.005722602821582878,0.014783254532328547,0.017404180374118408,4.0,0.00041583969524316977,0.005012056226844762,0.012875240107740382,0.00541460274740564
4584.0,24.0,0.005722602821582878,0.014783254532328547,0.01740054079541997,4.0,0.00041583969524316977,0.005012056226844762,0.012872442281248115,0.005413424348576422
4585.0,24.0,0.005722602821582878,0.014783254532328547,0.017396903010240477,4.0,0.00041583969524316977,0.005012056226844762,0.012869645670431125,0.005412246462552565
4586.0,24.0,0.005722602821582878,0.014783254532328547,0.017393267099550677,4.0,0.00041583969524316977,0.005012056226844762,0.012866850274497226,0.005411069088999402
4587.0,24.0,0.005722602821582878,0.014783254532328547,0.017389632540635146,4.0,0.00041583969524316977,0.005012056226844762,0.01286405609265497,0.005409892227582567
4588.0,24.0,0.005722602821582878,0.014783254532328547,0.01738599924212878,4.0,0.00041583969524316977,0.005012056226844762,0.012861263124113597,0.005408715877967972
4589.0,24.0,0.005722602821582878,0.014783254532328547,0.017382367814666747,4.0,0.00041583969524316977,0.005012056226844762,0.012858471368082994,0.005407540039821827
4590.0,24.0,0.005722602821582878,0.014783254532328547,0.017378738256674863,4.0,0.00041583969524316977,0.005012056226844762,0.012855680823773781,0.005406364712810635
4591.0,24.0,0.005722602821582878,0.014783254532328547,0.017375109444923154,4.0,0.00041583969524316977,0.005012056226844762,0.012852891490397226,0.005405189896601178
4592.0,24.0,0.005722602821582878,0.014783254532328547,0.017371482492309957,4.0,0.00041583969524316977,0.005012056226844762,0.012850103367165308,0.005404015590860538
4593.0,24.0,0.005722602821582878,0.014783254532328547,0.017367857405733746,4.0,0.00041583969524316977,0.005012056226844762,0.012847316453290675,0.005402841795256086
4594.0,24.0,0.005722602821582878,0.014783254532328547,0.01736423359151717,4.0,0.00041583969524316977,0.005012056226844762,0.012844530747986667,0.005401668509455473
4595.0,24.0,0.005722602821582878,0.014783254532328547,0.017360611105394757,4.0,0.00041583969524316977,0.005012056226844762,0.012841746250467282,0.005400495733126648
4596.0,24.0,0.005722602821582878,0.014783254532328547,0.017356990481884684,4.0,0.00041583969524316977,0.005012056226844762,0.012838962959947246,0.005399323465937841
4597.0,24.0,0.005722602821582878,0.014783254532328547,0.017353371654874578,4.0,0.00041583969524316977,0.005012056226844762,0.012836180875641912,0.005398151707557577
4598.0,24.0,0.005722602821582878,0.014783254532328547,0.017349753626905752,4.0,0.00041583969524316977,0.005012056226844762,0.012833399996767355,0.005396980457654664
4599.0,24.0,0.005722602821582878,0.014783254532328547,0.017346137458133227,4.0,0.00041583969524316977,0.005012056226844762,0.012830620322540317,0.005395809715898196
4600.0,24.0,0.005722602821582878,0.014783254532328547,0.017342523146996042,4.0,0.00041583969524316977,0.005012056226844762,0.012827841852178185,0.005394639481957562
4601.0,24.0,0.005722602821582878,0.014783254532328547,0.017338910029897906,4.0,0.00041583969524316977,0.005012056226844762,0.012825064584899093,0.005393469755502428
4602.0,24.0,0.005722602821582878,0.014783254532328547,0.01733529830755506,4.0,0.00041583969524316977,0.005012056226844762,0.012822288519921779,0.005392300536202752
4603.0,24.0,0.005722602821582878,0.014783254532328547,0.01733168843944359,4.0,0.00041583969524316977,0.005012056226844762,0.012819513656465702,0.005391131823728777
4604.0,24.0,0.005722602821582878,0.014783254532328547,0.017328080287496325,4.0,0.00041583969524316977,0.005012056226844762,0.01281673999375099,0.005389963617751033
4605.0,24.0,0.005722602821582878,0.014783254532328547,0.017324473003296093,4.0,0.00041583969524316977,0.005012056226844762,0.012813967530998439,0.005388795917940331
4606.0,24.0,0.005722602821582878,0.014783254532328547,0.017320867569931887,4.0,0.00041583969524316977,0.005012056226844762,0.012811196267429511,0.005387628723967774
