n,k,risk,U,CG23,gain1,gain2
5.400000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,2.118137861363456886e-01,1.192363045099943675e-01,1.838531109499405292e-01,1.013203147745789928e-01
5.500000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,2.118137861363456886e-01,1.171994476139052721e-01,1.838531109499405292e-01,1.013203147745789928e-01
5.600000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,2.118137861363456886e-01,1.152309388818061192e-01,1.838531109499405292e-01,1.013203147745789928e-01
5.700000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,2.118137861363456886e-01,1.133273985619030200e-01,1.838531109499405292e-01,1.013203147745789928e-01
5.800000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,2.118137861363456886e-01,1.114856658763621056e-01,1.838531109499405292e-01,1.013203147745789928e-01
5.900000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,2.118137861363456886e-01,1.097027815901508024e-01,1.838531109499405292e-01,1.013203147745789928e-01
6.000000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,2.118137861363456886e-01,1.079759722168961850e-01,1.838531109499405292e-01,1.013203147745789928e-01
6.100000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,2.118137861363456886e-01,1.063026356854206017e-01,1.838531109499405292e-01,1.013203147745789928e-01
6.200000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,2.118137861363456886e-01,1.046803283118925287e-01,1.838531109499405292e-01,1.013203147745789928e-01
6.300000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,2.118137861363456886e-01,1.031067529411212602e-01,1.838531109499405292e-01,1.013203147745789928e-01
6.400000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,2.118137861363456886e-01,1.015797481364777016e-01,1.838531109499405292e-01,1.013203147745789928e-01
6.500000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.806098456919721651e-01,1.000972783119917220e-01,1.838531109499405292e-01,1.013203147745789928e-01
6.600000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.806098456919721651e-01,9.865742471225390220e-02,1.838531109499405292e-01,1.013203147745789928e-01
6.700000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.806098456919721651e-01,9.725837715645499482e-02,1.838531109499405292e-01,1.013203147745789928e-01
6.800000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.806098456919721651e-01,9.589842647213187021e-02,1.838531109499405292e-01,1.013203147745789928e-01
6.900000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.806098456919721651e-01,9.457595755241675339e-02,1.838531109499405292e-01,1.013203147745789928e-01
7.000000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.806098456919721651e-01,9.328944297768775040e-02,1.838531109499405292e-01,1.013203147745789928e-01
7.100000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.806098456919721651e-01,9.203743714885513627e-02,1.838531109499405292e-01,1.013203147745789928e-01
7.200000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.806098456919721651e-01,9.081857088508450693e-02,1.838531109499405292e-01,1.013203147745789928e-01
7.300000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.806098456919721651e-01,8.963154644364655643e-02,1.838531109499405292e-01,1.013203147745789928e-01
7.400000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.806098456919721651e-01,8.847513292393639761e-02,1.838531109499405292e-01,1.013203147745789928e-01
7.500000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.806098456919721651e-01,8.734816202155444576e-02,1.838531109499405292e-01,1.013203147745789928e-01
7.600000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.806098456919721651e-01,8.624952410175844297e-02,1.838531109499405292e-01,1.013203147745789928e-01
7.700000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.806098456919721651e-01,8.517816456461838048e-02,1.838531109499405292e-01,1.013203147745789928e-01
7.800000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.539298841779564164e-01,8.413308047692498459e-02,1.838531109499405292e-01,1.013203147745789928e-01
7.900000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.539298841779564164e-01,8.311331744830323387e-02,1.838531109499405292e-01,1.013203147745789928e-01
8.000000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.539298841779564164e-01,8.211796673112899125e-02,1.838531109499405292e-01,1.013203147745789928e-01
8.100000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.539298841779564164e-01,8.114616252578402134e-02,1.838531109499405292e-01,1.013203147745789928e-01
8.200000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,1.539298841779564164e-01,8.019707947448324881e-02,1.838531109499405292e-01,1.013203147745789928e-01
