n,k,U,objective,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17
1.100000000000000000e+01,2.000000000000000000e+00,8.232514771709420476e-01,3.970748029339579155e+00,9.550657115525863772e-02,6.212280969862814251e-02,-2.664989999301934365e-01,-2.015324231083330808e+00,2.313098286877452933e-02,-1.652289384831553687e-01,-2.328513578697425420e-03,-1.564734326618281601e+00,-5.526802188909401004e-01,-1.627486475873762550e-01,-2.077531966326730650e+00,-2.115994169554405169e-01,-4.038041489786314275e-01,-6.113169739176541606e-01,-1.609241245731917402e+00,-3.431367480660203056e-02,-2.157505197804616692e-01,-2.086185070025902366e+00
1.200000000000000000e+01,2.000000000000000000e+00,7.639361044768810949e-01,3.970748029339579155e+00,9.550657115525863772e-02,6.212280969862814251e-02,-2.664989999301934365e-01,-2.015324231083330808e+00,2.313098286877452933e-02,-1.652289384831553687e-01,-2.328513578697425420e-03,-1.564734326618281601e+00,-5.526802188909401004e-01,-1.627486475873762550e-01,-2.077531966326730650e+00,-2.115994169554405169e-01,-4.038041489786314275e-01,-6.113169739176541606e-01,-1.609241245731917402e+00,-3.431367480660203056e-02,-2.157505197804616692e-01,-2.086185070025902366e+00
1.300000000000000000e+01,2.000000000000000000e+00,7.639361044768810949e-01,3.970748029339579155e+00,9.550657115525863772e-02,6.212280969862814251e-02,-2.664989999301934365e-01,-2.015324231083330808e+00,2.313098286877452933e-02,-1.652289384831553687e-01,-2.328513578697425420e-03,-1.564734326618281601e+00,-5.526802188909401004e-01,-1.627486475873762550e-01,-2.077531966326730650e+00,-2.115994169554405169e-01,-4.038041489786314275e-01,-6.113169739176541606e-01,-1.609241245731917402e+00,-3.431367480660203056e-02,-2.157505197804616692e-01,-2.086185070025902366e+00
1.400000000000000000e+01,2.000000000000000000e+00,7.117227214341854680e-01,3.970748029339579155e+00,9.550657115525863772e-02,6.212280969862814251e-02,-2.664989999301934365e-01,-2.015324231083330808e+00,2.313098286877452933e-02,-1.652289384831553687e-01,-2.328513578697425420e-03,-1.564734326618281601e+00,-5.526802188909401004e-01,-1.627486475873762550e-01,-2.077531966326730650e+00,-2.115994169554405169e-01,-4.038041489786314275e-01,-6.113169739176541606e-01,-1.609241245731917402e+00,-3.431367480660203056e-02,-2.157505197804616692e-01,-2.086185070025902366e+00
1.500000000000000000e+01,2.000000000000000000e+00,7.117227214341854680e-01,3.970748029339579155e+00,9.550657115525863772e-02,6.212280969862814251e-02,-2.664989999301934365e-01,-2.015324231083330808e+00,2.313098286877452933e-02,-1.652289384831553687e-01,-2.328513578697425420e-03,-1.564734326618281601e+00,-5.526802188909401004e-01,-1.627486475873762550e-01,-2.077531966326730650e+00,-2.115994169554405169e-01,-4.038041489786314275e-01,-6.113169739176541606e-01,-1.609241245731917402e+00,-3.431367480660203056e-02,-2.157505197804616692e-01,-2.086185070025902366e+00
1.600000000000000000e+01,2.000000000000000000e+00,7.117227214341854680e-01,3.970748029339579155e+00,9.550657115525863772e-02,6.212280969862814251e-02,-2.664989999301934365e-01,-2.015324231083330808e+00,2.313098286877452933e-02,-1.652289384831553687e-01,-2.328513578697425420e-03,-1.564734326618281601e+00,-5.526802188909401004e-01,-1.627486475873762550e-01,-2.077531966326730650e+00,-2.115994169554405169e-01,-4.038041489786314275e-01,-6.113169739176541606e-01,-1.609241245731917402e+00,-3.431367480660203056e-02,-2.157505197804616692e-01,-2.086185070025902366e+00
1.700000000000000000e+01,2.000000000000000000e+00,6.419838171424515627e-01,3.970748029339579155e+00,9.550657115525863772e-02,6.212280969862814251e-02,-2.664989999301934365e-01,-2.015324231083330808e+00,2.313098286877452933e-02,-1.652289384831553687e-01,-2.328513578697425420e-03,-1.564734326618281601e+00,-5.526802188909401004e-01,-1.627486475873762550e-01,-2.077531966326730650e+00,-2.115994169554405169e-01,-4.038041489786314275e-01,-6.113169739176541606e-01,-1.609241245731917402e+00,-3.431367480660203056e-02,-2.157505197804616692e-01,-2.086185070025902366e+00
1.800000000000000000e+01,1.000000000000000000e+00,5.643306098808460458e-01,4.131515147414440925e+00,5.271371065038408382e-02,5.922492662851044920e-02,-2.539645671618800948e-01,-2.051829890208657137e+00,2.335606584535249164e-02,-1.570802381576315021e-01,-7.108319754630068599e-03,-1.564690724815037681e+00,-5.496763550148932032e-01,-1.698368322955740861e-01,-2.076697086161144679e+00,-2.115795590108435764e-01,-3.948283795372823923e-01,-6.107195330715818882e-01,-1.611913756827756172e+00,-2.657498626315872234e-02,-2.158199316047363647e-01,-2.087869996581998233e+00
1.900000000000000000e+01,1.000000000000000000e+00,5.643306098808460458e-01,4.131515147414440925e+00,5.271371065038408382e-02,5.922492662851044920e-02,-2.539645671618800948e-01,-2.051829890208657137e+00,2.335606584535249164e-02,-1.570802381576315021e-01,-7.108319754630068599e-03,-1.564690724815037681e+00,-5.496763550148932032e-01,-1.698368322955740861e-01,-2.076697086161144679e+00,-2.115795590108435764e-01,-3.948283795372823923e-01,-6.107195330715818882e-01,-1.611913756827756172e+00,-2.657498626315872234e-02,-2.158199316047363647e-01,-2.087869996581998233e+00
2.000000000000000000e+01,1.000000000000000000e+00,5.643306098808460458e-01,4.131515147414440925e+00,5.271371065038408382e-02,5.922492662851044920e-02,-2.539645671618800948e-01,-2.051829890208657137e+00,2.335606584535249164e-02,-1.570802381576315021e-01,-7.108319754630068599e-03,-1.564690724815037681e+00,-5.496763550148932032e-01,-1.698368322955740861e-01,-2.076697086161144679e+00,-2.115795590108435764e-01,-3.948283795372823923e-01,-6.107195330715818882e-01,-1.611913756827756172e+00,-2.657498626315872234e-02,-2.158199316047363647e-01,-2.087869996581998233e+00
