replicate,aligned_first_cost,aligned_selected_cost
6.500000000000000000e+01,1.486934010656759231e+00,1.486934010656759231e+00
6.600000000000000000e+01,1.468037833167480599e+00,1.468037833167480599e+00
6.700000000000000000e+01,1.505479973826982398e+00,1.505479973826982398e+00
6.800000000000000000e+01,1.442205452936741850e+00,1.442205452936741850e+00
6.900000000000000000e+01,1.469584500986410136e+00,1.469584500986410136e+00
7.000000000000000000e+01,1.542383048665481926e+00,1.542383048665481926e+00
7.100000000000000000e+01,1.521297860387714751e+00,1.521297860387714751e+00
7.200000000000000000e+01,1.515275020880809453e+00,1.515275020880809453e+00
7.300000000000000000e+01,1.536998097497923599e+00,1.536998097497923599e+00
7.400000000000000000e+01,1.517808884358649024e+00,1.517808884358649024e+00
7.500000000000000000e+01,1.492452154928500807e+00,1.492452154928500807e+00
7.600000000000000000e+01,1.519895153944438526e+00,1.519895153944438526e+00
7.700000000000000000e+01,1.510220755094368039e+00,1.510220755094368039e+00
7.800000000000000000e+01,1.541647305387589206e+00,1.541647305387589206e+00
7.900000000000000000e+01,1.509653097304922920e+00,1.509653097304922920e+00
8.000000000000000000e+01,1.515847227484422355e+00,1.515847227484422355e+00
8.100000000000000000e+01,1.526213500733765382e+00,1.526213500733765382e+00
8.200000000000000000e+01,1.465336203372805679e+00,1.465336203372805679e+00
8.300000000000000000e+01,1.543246849487462269e+00,1.543246849487462269e+00
8.400000000000000000e+01,1.450490287243409782e+00,1.450490287243409782e+00
8.500000000000000000e+01,1.540218257568299665e+00,1.540218257568299665e+00
8.600000000000000000e+01,1.560815603697123022e+00,1.560815603697123022e+00
8.700000000000000000e+01,1.472314070362718885e+00,1.472314070362718885e+00
8.800000000000000000e+01,1.500577897285848783e+00,1.500577897285848783e+00
8.900000000000000000e+01,1.539305110680748268e+00,1.539305110680748268e+00
9.000000000000000000e+01,1.429183141402712742e+00,1.429183141402712742e+00
9.100000000000000000e+01,1.473244267792019446e+00,1.473244267792019446e+00
9.200000000000000000e+01,1.478821015447706833e+00,1.478821015447706833e+00
9.300000000000000000e+01,1.525313177864854763e+00,1.525313177864854763e+00
9.400000000000000000e+01,1.472441544465501240e+00,1.472441544465501240e+00
9.500000000000000000e+01,1.459501774031895849e+00,1.459501774031895849e+00
9.600000000000000000e+01,1.544041654756006077e+00,1.544041654756006077e+00
9.700000000000000000e+01,1.519051599023216514e+00,1.519051599023216514e+00
9.800000000000000000e+01,1.464607643840939444e+00,1.464607643840939444e+00
9.900000000000000000e+01,1.472278226381745769e+00,1.472278226381745769e+00
1.000000000000000000e+02,1.545552105499637507e+00,1.545552105499637507e+00
1.010000000000000000e+02,1.531511298452661984e+00,1.531511298452661984e+00
1.020000000000000000e+02,1.476226862366267101e+00,1.476226862366267101e+00
1.030000000000000000e+02,1.516180170252712012e+00,1.516180170252712012e+00
1.040000000000000000e+02,1.482003724976959314e+00,1.482003724976959314e+00
1.050000000000000000e+02,1.531400543407738679e+00,1.531400543407738679e+00
1.060000000000000000e+02,1.515599642365979660e+00,1.515599642365979660e+00
1.070000000000000000e+02,1.556417987479502552e+00,1.556417987479502552e+00
1.080000000000000000e+02,1.501717791891421738e+00,1.501717791891421738e+00
1.090000000000000000e+02,1.449468473299614368e+00,1.449468473299614368e+00
1.100000000000000000e+02,1.538736658213101238e+00,1.538736658213101238e+00
1.110000000000000000e+02,1.470452328160131161e+00,1.470452328160131161e+00
1.120000000000000000e+02,1.541514200609535701e+00,1.541514200609535701e+00
1.130000000000000000e+02,1.547823564104127136e+00,1.547823564104127136e+00
1.140000000000000000e+02,1.474651966953899329e+00,1.474651966953899329e+00
1.150000000000000000e+02,1.496428430912133622e+00,1.496428430912133622e+00
1.160000000000000000e+02,1.491155403791912359e+00,1.491155403791912359e+00
1.170000000000000000e+02,1.487316852848679538e+00,1.487316852848679538e+00
1.180000000000000000e+02,1.430468456740809691e+00,1.430468456740809691e+00
1.190000000000000000e+02,1.542857841397484719e+00,1.542857841397484719e+00
1.200000000000000000e+02,1.516299351096174419e+00,1.516299351096174419e+00
1.210000000000000000e+02,1.499603016246100262e+00,1.499603016246100262e+00
1.220000000000000000e+02,1.533337701436045419e+00,1.533337701436045419e+00
1.230000000000000000e+02,1.529893323787258508e+00,1.529893323787258508e+00
1.240000000000000000e+02,1.546962985219068720e+00,1.546962985219068720e+00
1.250000000000000000e+02,1.486615834261122648e+00,1.486615834261122648e+00
1.260000000000000000e+02,1.449894072367285069e+00,1.449894072367285069e+00
1.270000000000000000e+02,1.485015090284672601e+00,1.485015090284672601e+00
1.280000000000000000e+02,1.504027573459626010e+00,1.504027573459626010e+00
1.290000000000000000e+02,1.516813036384102809e+00,1.516813036384102809e+00
1.300000000000000000e+02,1.495667299225926117e+00,1.495667299225926117e+00
1.310000000000000000e+02,1.479232572932021483e+00,1.479232572932021483e+00
1.320000000000000000e+02,1.477218710460720397e+00,1.477218710460720397e+00
1.330000000000000000e+02,1.462055000645954728e+00,1.462055000645954728e+00
1.340000000000000000e+02,1.494194815444326530e+00,1.494194815444326530e+00
1.350000000000000000e+02,1.515275487445643554e+00,1.515275487445643554e+00
1.360000000000000000e+02,1.500665693452652771e+00,1.500665693452652771e+00
1.370000000000000000e+02,1.469437544330689516e+00,1.469437544330689516e+00
1.380000000000000000e+02,1.477111246497143426e+00,1.477111246497143426e+00
1.390000000000000000e+02,1.520167213409481466e+00,1.520167213409481466e+00
1.400000000000000000e+02,1.507147213398534857e+00,1.507147213398534857e+00
1.410000000000000000e+02,1.447935506050855858e+00,1.447935506050855858e+00
1.420000000000000000e+02,1.442849316169881213e+00,1.442849316169881213e+00
1.430000000000000000e+02,1.490791096799576998e+00,1.490791096799576998e+00
1.440000000000000000e+02,1.474564297017785908e+00,1.474564297017785908e+00
1.450000000000000000e+02,1.462229267302602942e+00,1.462229267302602942e+00
1.460000000000000000e+02,1.512875819724091242e+00,1.512875819724091242e+00
1.470000000000000000e+02,1.518956818672663411e+00,1.518956818672663411e+00
1.480000000000000000e+02,1.522213339350464434e+00,1.522213339350464434e+00
1.490000000000000000e+02,1.461228477032831208e+00,1.461228477032831208e+00
