n,k_hull,risk_hull,U_hull,U_per_time,k_box,risk_box,U_box
7.646000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.040542574324110868e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.327922179420373609e-03
7.647000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.040411778567289051e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.327922179420373609e-03
7.648000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.040281022941445636e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.327922179420373609e-03
7.649000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.040150288490965420e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.327922179420373609e-03
7.650000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.040019589044807735e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.327922179420373609e-03
7.651000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.039888929685735437e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.327922179420373609e-03
7.652000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.039758305854898875e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.327922179420373609e-03
7.653000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.039627702611724096e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.327922179420373609e-03
7.654000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.039497139411830855e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.327922179420373609e-03
7.655000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.039366616235241209e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.327922179420373609e-03
7.656000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.039236118912359973e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.657000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.039105651764197363e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.658000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.038975224595620021e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.659000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.038844837386698923e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.660000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.038714466387871509e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.661000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.038584135120083039e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.662000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.038453843768326508e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.663000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.038323582928439050e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.664000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.038193347454384290e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
7.665000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.038063151852792153e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.004884746128733217e-03
