n,k,risk,U_anytime,U_per_time,L1,L2
1.750000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,8.884340963149352233e-02,1.168865642982263447e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.760000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,8.884340963149352233e-02,1.163227642888981367e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.770000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,8.884340963149352233e-02,1.157649428570951683e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.780000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,8.884340963149352233e-02,1.152130016249050953e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.790000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,8.884340963149352233e-02,1.146668444081137134e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.800000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,8.884340963149352233e-02,1.141263771545442396e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.810000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,8.884340963149352233e-02,1.135915078844876441e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.820000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,8.884340963149352233e-02,1.130621466331461072e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.830000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,8.884340963149352233e-02,1.125382053949888911e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.840000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,8.884340963149352233e-02,1.120195980699721788e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.850000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,8.884340963149352233e-02,1.115062404115285261e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.860000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,8.884340963149352233e-02,1.109973769502776847e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.870000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,8.884340963149352233e-02,1.104912988575565136e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.880000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,8.884340963149352233e-02,1.099902911180462017e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.890000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,8.884340963149352233e-02,1.094942749080694971e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.900000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,8.884340963149352233e-02,1.090031730646460334e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.910000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,8.884340963149352233e-02,1.085169100413728299e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.920000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,8.884340963149352233e-02,1.080354118657286394e-01,1.658906822103888845e-01,1.470373061124380099e-01
